"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 11 11:41:01 GMT 2024","Mon Mar 11 11:41:22 GMT 2024","21011","","test_UITests_test","TestUITest","","","test_Transcript",""
"passed","Mon Mar 11 11:41:59 GMT 2024","Mon Mar 11 11:42:04 GMT 2024","5069","","test_UITests_test","TestUITest","","","NewChatPopupWindow",""
