"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 12 06:13:58 GMT 2024","Tue Mar 12 06:14:19 GMT 2024","21000","","test_UITests_test","TestUITest","","","test_Transcript",""
"passed","Tue Mar 12 06:14:55 GMT 2024","Tue Mar 12 06:15:00 GMT 2024","5069","","test_UITests_test","TestUITest","","","NewChatPopupWindow",""
