"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 12 07:02:15 GMT 2024","Tue Mar 12 07:02:21 GMT 2024","5068","","test_UITests_test","TestUITest","","","NewChatPopupWindow",""
"passed","Tue Mar 12 07:01:18 GMT 2024","Tue Mar 12 07:01:39 GMT 2024","21002","","test_UITests_test","TestUITest","","","test_Transcript",""
