"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 12 06:05:46 GMT 2024","Tue Mar 12 06:06:07 GMT 2024","21007","","test_UITests_test","TestUITest","","","test_Transcript",""
"passed","Tue Mar 12 06:06:42 GMT 2024","Tue Mar 12 06:06:47 GMT 2024","5071","","test_UITests_test","TestUITest","","","NewChatPopupWindow",""
